organism,record_id,record_length,k,shannon_entropy,kmer_diversity
Yarrowia_lipolytica,NC_090770.1,2257857,4,7.9438033021810615,0.00011338199901322229
Yarrowia_lipolytica,NC_090771.1,3044971,4,7.945586856528751,8.407313311666986e-05
Yarrowia_lipolytica,NC_090772.1,3366276,4,7.9443424703945835,7.604849636378273e-05
Yarrowia_lipolytica,NC_090773.1,3629463,4,7.945267477108615,7.053390862552557e-05
Yarrowia_lipolytica,NC_090774.1,4198534,4,7.945376854438875,6.097370723236294e-05
Yarrowia_lipolytica,NC_090775.1,4002965,4,7.9469411692715415,6.395264306780829e-05
Dictyostelium_discoideum,NC_007087.3,4922989,4,6.941441886438684,5.200096039273725e-05
Dictyostelium_discoideum,NC_007088.5,8482280,4,6.8985879387862274,3.0180575333722303e-05
Dictyostelium_discoideum,NC_007089.4,6354670,4,6.900764686807811,4.028535248188457e-05
Dictyostelium_discoideum,NC_007090.3,5445147,4,6.895230431873587,4.701436729680611e-05
Dictyostelium_discoideum,NC_007091.3,5117640,4,6.915233151049405,5.0023086826986754e-05
Dictyostelium_discoideum,NC_007092.3,3597207,4,6.949790038545757,7.116638366909411e-05
Dictyostelium_discoideum,NC_001889.1,14955,4,7.116449774194113,0.017121455323702513
Dictyostelium_discoideum,NW_003102053.1,6581,4,7.226358178120552,0.038309516570386136
Dictyostelium_discoideum,NW_003102052.1,3947,4,7.362415567373989,0.06364097363083164
Dictyostelium_discoideum,NW_003102051.1,9512,4,7.161323180924653,0.02639604585129877
Dictyostelium_discoideum,NW_003102050.1,3759,4,7.274402807803435,0.06602768903088392
Dictyostelium_discoideum,NW_003102049.1,8346,4,7.152545758937938,0.030324823205082105
Dictyostelium_discoideum,NW_003102048.1,8929,4,7.455645418978887,0.02868025991485548
Dictyostelium_discoideum,NW_003102047.1,2617,4,7.000565379030813,0.08837031369548584
Dictyostelium_discoideum,NW_003102046.1,3280,4,7.566229440380634,0.0778150747635032
Dictyostelium_discoideum,NW_003102061.1,11086,4,7.374624466088138,0.02309843905079852
Dictyostelium_discoideum,NW_003102045.1,1953,4,7.432810817563904,0.12974358974358974
Dictyostelium_discoideum,NW_003102044.1,2308,4,7.4191225105953285,0.10715835140997831
Dictyostelium_discoideum,NW_003102043.1,5151,4,7.667331100939514,0.04972804972804973
Dictyostelium_discoideum,NW_003102042.1,3905,4,7.563507948249345,0.06560738083034341
Dictyostelium_discoideum,NW_003102041.1,5100,4,7.4256988553525956,0.050029429075927015
Dictyostelium_discoideum,NW_003102040.1,7355,4,7.146063668096198,0.03400435255712731
Dictyostelium_discoideum,NW_003102039.1,2343,4,7.43587787273337,0.10341880341880341
Dictyostelium_discoideum,NW_003102038.1,4495,4,6.653113494586866,0.05409617097061443
Dictyostelium_discoideum,NW_003102037.1,5178,4,7.678053627467821,0.049468599033816424
Dictyostelium_discoideum,NW_003102036.1,5697,4,6.867791893684828,0.04390586582367404
Dictyostelium_discoideum,NW_003102060.1,2594,4,7.191618590780831,0.09069857197993053
Dictyostelium_discoideum,NW_003102035.1,2485,4,6.515096673490352,0.09427880741337631
Dictyostelium_discoideum,NW_003102034.1,2149,4,6.141733354857939,0.08201304753028892
Dictyostelium_discoideum,NW_003102033.1,2239,4,6.773367512889067,0.10286225402504472
Dictyostelium_discoideum,NW_003102032.1,3655,4,7.440618109577698,0.06955093099671412
Dictyostelium_discoideum,NW_003102031.1,4068,4,6.289765051637503,0.054366543665436654
Dictyostelium_discoideum,NW_003102030.1,2525,4,6.774031865689081,0.09318001586042823
Dictyostelium_discoideum,NW_003102029.1,39796,4,7.2612978725043655,0.006433292287588269
Dictyostelium_discoideum,NW_003102059.1,2216,4,7.326373211129086,0.11342069588793494
Dictyostelium_discoideum,NW_003102058.1,4957,4,7.45727905483296,0.05147355672184094
Dictyostelium_discoideum,NW_003102057.1,4049,4,6.691471121018516,0.05709342560553633
Dictyostelium_discoideum,NW_003102056.1,12018,4,6.84923262505599,0.021140241364960465
Dictyostelium_discoideum,NW_003102055.1,2584,4,7.167138477737949,0.09259976753196436
Dictyostelium_discoideum,NW_003102054.1,4502,4,7.553959186910177,0.05667926205823516
Dictyostelium_discoideum,NC_000895.1,55564,4,7.209764696761658,0.004607548460250895
Eremothecium_coryli,AZAH01000001.1,1820817,4,7.887821278607753,0.0001405964585070194
Eremothecium_coryli,AZAH01000002.1,1102953,4,7.882492045764943,0.00023210480982818803
Eremothecium_coryli,AZAH01000003.1,1034574,4,7.88208338828449,0.0002474455595604362
Eremothecium_coryli,AZAH01000004.1,1026592,4,7.883250455934192,0.0002493695139924546
Eremothecium_coryli,AZAH01000005.1,589585,4,7.875856445483303,0.0004342059289462704
Eremothecium_coryli,AZAH01000006.1,544561,4,7.8852109504332795,0.0004701060309461986
Eremothecium_coryli,AZAH01000007.1,515488,4,7.88874503386884,0.0004966196882547504
Eremothecium_coryli,AZAH01000008.1,494198,4,7.8900601373043715,0.0005180141442143283
Eremothecium_coryli,AZAH01000009.1,476992,4,7.885904202732345,0.0005367000077569923
Eremothecium_coryli,AZAH01000010.1,415661,4,7.885828064150697,0.0006158909488088765
Eremothecium_coryli,AZAH01000011.1,258014,4,7.895976418052516,0.000992205758669204
Eremothecium_coryli,AZAH01000012.1,222759,4,7.8730504692519,0.00114923952665697
Eremothecium_coryli,AZAH01000013.1,173240,4,7.899326290606022,0.0014777443617702915
Eremothecium_coryli,AZAH01000014.1,76213,4,7.871478675484746,0.003359139220574728
Eremothecium_coryli,AZAH01000015.1,82352,4,7.872694957945235,0.003108720203038288
Eremothecium_coryli,AZAH01000016.1,65909,4,7.838198777250293,0.0038843200922526024
Eremothecium_coryli,AZAH01000017.1,53531,4,7.865152227303152,0.004782543715438649
Eremothecium_coryli,AZAH01000018.1,58420,4,7.904755976046633,0.004382285978396699
Eremothecium_coryli,AZAH01000019.1,17610,4,7.8481485414059255,0.014539671721474414
